Technology Area,Number of Awards,Total Funding,Avg Funding per Award
"Robotics and Advanced Manufacturing, Advanced Materials, Data and Cybersecurity",1,999997.0,999997.0
"Robotics and Advanced Manufacturing, Advanced Materials, Advanced Energy and Industrial Efficiency Technologies, Data and Cybersecurity",1,999996.0,999996.0
"Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies, Data and Cybersecurity",1,999993.0,999993.0
"Disaster Prevention and Mitigation, Biotechnology, Robotics and Advanced Manufacturing, Data and Cybersecurity",1,999944.0,999944.0
"Robotics and Advanced Manufacturing, Artificial Intelligence, Advanced Computing and Semiconductors",1,999942.0,999942.0
"Artificial Intelligence, Disaster Prevention and Mitigation, Biotechnology, Advanced Energy and Industrial Efficiency Technologies",1,999926.0,999926.0
"Artificial Intelligence, Advanced Materials, Advanced Energy and Industrial Efficiency Technologies, Data and Cybersecurity, Disaster Prevention and Mitigation",1,999911.0,999911.0
"Artificial Intelligence, Biotechnology, Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies",1,999903.0,999903.0
"Advanced Computing and Semiconductors, Advanced Energy and Industrial Efficiency Technologies, Advanced Communications, Data and Cybersecurity",1,999898.0,999898.0
"Robotics and Advanced Manufacturing, Advanced Communications, Biotechnology, Data and Cybersecurity",1,999885.0,999885.0
"Robotics and Advanced Manufacturing, Advanced Computing and Semiconductors, Advanced Materials, Disaster Prevention and Mitigation, Data and Cybersecurity",1,999878.0,999878.0
"Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies, Artificial Intelligence",1,999841.0,999841.0
"Artificial Intelligence, Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies, Advanced Computing and Semiconductors, Disaster Prevention and Mitigation, Advanced Communications, Data and Cybersecurity",1,999650.0,999650.0
"Advanced Materials, Disaster Prevention and Mitigation, Advanced Energy and Industrial Efficiency Technologies, Robotics and Advanced Manufacturing, Biotechnology",1,999547.0,999547.0
"Biotechnology, Advanced Energy and Industrial Efficiency Technologies, Disaster Prevention and Mitigation",1,998527.0,998527.0
"Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies, Biotechnology, Advanced Materials, Data and Cybersecurity",1,998056.0,998056.0
"Artificial Intelligence, Robotics and Advanced Manufacturing, Advanced Computing and Semiconductors",2,998043.0,499021.5
"Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies, Biotechnology, Advanced Materials, Disaster Prevention and Mitigation",1,995943.0,995943.0
"Robotics and Advanced Manufacturing, Advanced Materials, Advanced Energy and Industrial Efficiency Technologies, Advanced Computing and Semiconductors",1,995904.0,995904.0
"Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies, Biotechnology, Disaster Prevention and Mitigation, Advanced Materials",1,995337.0,995337.0
"Robotics and Advanced Manufacturing, Artificial Intelligence, Data and Cybersecurity, Disaster Prevention and Mitigation",1,995163.0,995163.0
"Quantum Information Science and Technology, Biotechnology, Advanced Computing and Semiconductors",1,993869.0,993869.0
"Artificial Intelligence, Disaster Prevention and Mitigation, Robotics and Advanced Manufacturing, Data and Cybersecurity",1,992699.0,992699.0
"Advanced Energy and Industrial Efficiency Technologies, Advanced Computing and Semiconductors, Advanced Materials",2,990850.0,495425.0
"Data and Cybersecurity, Biotechnology, Advanced Communications",1,984905.0,984905.0
"Artificial Intelligence, Disaster Prevention and Mitigation, Data and Cybersecurity, Biotechnology",1,944875.0,944875.0
"Artificial Intelligence, Disaster Prevention and Mitigation, Biotechnology, Data and Cybersecurity",1,923999.0,923999.0
"Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies, Advanced Materials, Data and Cybersecurity",1,916490.0,916490.0
"Disaster Prevention and Mitigation, Artificial Intelligence, Advanced Energy and Industrial Efficiency Technologies",1,897042.0,897042.0
"Disaster Prevention and Mitigation, Advanced Communications",4,836937.0,209234.25
"Biotechnology, Robotics and Advanced Manufacturing, Advanced Materials",2,816811.0,408405.5
"Advanced Materials, Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies",2,800000.0,400000.0
"Advanced Communications, Artificial Intelligence, Data and Cybersecurity",2,799999.0,399999.5
"Advanced Energy and Industrial Efficiency Technologies, Robotics and Advanced Manufacturing, Artificial Intelligence",3,799548.0,266516.0
"Advanced Energy and Industrial Efficiency Technologies, Robotics and Advanced Manufacturing, Advanced Materials",2,793248.0,396624.0
"Biotechnology, Disaster Prevention and Mitigation, Artificial Intelligence",3,787000.0,262333.3333333333
"Advanced Energy and Industrial Efficiency Technologies, Biotechnology, Advanced Materials",3,786944.0,262314.6666666667
"Biotechnology, Disaster Prevention and Mitigation, Advanced Computing and Semiconductors",2,785056.0,392528.0
"Artificial Intelligence, Robotics and Advanced Manufacturing, Advanced Materials, Biotechnology",1,750000.0,750000.0
"Advanced Materials, Advanced Computing and Semiconductors, Robotics and Advanced Manufacturing, Disaster Prevention and Mitigation",1,750000.0,750000.0
"Advanced Materials, Disaster Prevention and Mitigation, Artificial Intelligence, Advanced Computing and Semiconductors",1,750000.0,750000.0
"Artificial Intelligence, Biotechnology, Advanced Communications, Robotics and Advanced Manufacturing",1,750000.0,750000.0
"Data and Cybersecurity, Artificial Intelligence, Advanced Energy and Industrial Efficiency Technologies, Disaster Prevention and Mitigation",1,750000.0,750000.0
"Artificial Intelligence, Data and Cybersecurity, Robotics and Advanced Manufacturing",1,750000.0,750000.0
"Advanced Materials, Quantum Information Science and Technology, Disaster Prevention and Mitigation",1,750000.0,750000.0
"Disaster Prevention and Mitigation, Advanced Materials, Robotics and Advanced Manufacturing, Artificial Intelligence",1,750000.0,750000.0
